record_number,application_number,application_type,uprn,category,location,proposal,received_date,received_complete_date,expiry_date,committee_date,gridref_east,gridref_north,site_area,site_area_hec,delegated_committee,Expr1016,Expr1017,old,notice_date,status_code,dbo_pla_planning_appeal_number,pla_stats_majmin,consults_expiry_date,pla_enviro_stat_req,pla_corr_total_object,pla_corr_total_no_object,pla_corr_total_comment,dbo_lookup_decision_codes_decision_description,dec_maker_desc,dbo_lookup_stats_site_details_description,dbo_lookup_stats_type_description,ward_description,dbo_apl_appeal_appeal_number,dbo_lookup_apl_decisions_decision_description,name
14000,K6419/16,FUL,,CC,Brune Park Community School Military Road Gosport,Construction of boiler flues to Science Block and Main Block,03/04/2009,09/04/2009,04/06/2009,21/05/2009,459469,101486,5,0.0005,D,Delegated by officer,Granted,,22/05/2009,RCD,,min,20/05/2009,,,,,Granted,Delegated by officer,,,Leesland and Town,,,Property Business and Regulatory Services
14001,09/00686/HCC3S,FUL,,CC,Mountbatten Secondary School Whitenap Lane Romsey,Installation of roof mounted solar panels,03/04/2009,03/04/2009,29/05/2009,08/06/2009,437254,120660,1578,0.1578,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,06/05/2009,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Business and Regulatory Services
14002,09/00707/HCC3S,FUL,,CC,Adjacent West Tytherley Primary School The Village West Tytherley,Proposed remedial works to foul drainage system,06/04/2009,06/04/2009,01/06/2009,03/07/2009,427538,129886,2981,0.2981,D,Delegated by officer,Granted,,03/07/2009,RCD,,min,10/07/2009,,,,,Granted,Delegated by officer,,,Test Valley Central,,,Property Business and Regulatory Services
14003,09/00704/HCC3S,FUL,,CC,The Romsey School Greatbridge Romsey,It is proposed that the existing Site Managers House which has not been lived in for approx 2.5 years is refurbished to provide additional facilities for the school and community,07/04/2009,07/04/2009,02/06/2009,02/06/2009,435174,121745,53,0.0053,D,Delegated by officer,Granted,,02/06/2009,RCD,,min,07/05/2009,,,,,Granted,Delegated by officer,,,Romsey Town,,,Property Business and Regulatory Services
14011,09/00189/HCC,FUL,,CMW,Unit 1 Stubbs Lane Hollybush Lane Aldershot,Location and operation of a crusher,09/04/2009,16/04/2009,11/06/2009,01/07/2009,488395,152331,1760,0.176,D,Applicant,Withdrawn,,18/06/2009,RCD,,MAJ,25/05/2009,,,,,Withdrawn,Applicant,,,Aldershot West,,,SLR Consulting Ltd
14012,09/00734/HCS,FUL,,CC,Tynefield Cottages Whiteley Lane Fareham,"Erection of two agricultural buildings to house livestock and fodder  
(1. Second-hand structure 6.7m x 12.2m approx 2. new steel-framed building 9.14m x 24.38m approx.)",17/04/2009,20/04/2009,15/06/2009,16/06/2009,453742,107877,223,0.0223,D,Delegated by officer,Granted,,16/06/2009,RCD,,min,20/05/2009,,,,,Granted,Delegated by officer,,,Winchester Southern Parishes,,,Estates Practice
14013,P/09/0374/CC,FUL,,CC,Brookfield School Brook Lane Sarisbury Green,Creation of a new Adult Learning Centre,17/04/2009,17/04/2009,12/06/2009,12/06/2009,450381,107631,181,0.0181,D,Delegated by officer,Granted,,12/06/2009,RCD,,min,06/05/2010,,,,,Granted,Delegated by officer,,,Fareham Sarisbury,,,Property Business and Regulatory Services
14014,BDB/70613,FUL,,CC,The Hurst Community School Brimpton Road Baughurst Tadley,Creation of a new Adult Learning Centre including an Ofsted registered sessional creche for the Adult Learning Centre this will include a fenced external play area,17/04/2009,17/04/2009,12/06/2009,05/06/2009,457641,162268,449,0.0449,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,02/07/2010,,,,,Granted,Delegated by officer,,,Tadley and Baughurst,,,Property Business and Regulatory Services
14018,BDB/70626,REL,,CMM,Mortimer Quarry Welshmans Road Mortimer West End,Variation of condition 8 of PP BDB/58692 to allow excavated material to be conveyed over Ramptons Lane by dumper truck,22/04/2009,22/04/2009,17/06/2009,29/07/2009,463058,164653,469914,46.9914,D,Committee,Granted,,05/08/2009,RCD,,min,25/05/2009,,,,,Granted,Committee,Variation of condition(s),Sand and Gravel,Calleva and Kingsclere,,,Hanson Aggregates
14019,09/94039,FUL,,CC,Sopley Primary School South Ripley BH23 8ET,Installation of a 6kW Proven wind turbine on a 15m mast,22/04/2009,23/04/2009,18/06/2009,13/01/2010,416303,98493,7,0.0007,C,Committee,Granted,,15/01/2010,RCD,,min,29/03/2010,,,,,Granted,Committee,,,Ringwood,,,Property Business and Regulatory Services
14020,22407/009,FUL,,CMW,Heberdens Farm Finchdean,Change of use of an agricultural building and adjoining land for the storage and processing of builders waste,23/04/2009,23/04/2009,18/06/2009,29/07/2009,473936,113715,6726,0.6726,C,Committee,Granted,,04/08/2009,RCD,,MAJ,30/06/2009,,,,,Granted,Committee,Other,Recycling Plans for Secondary Aggregates,Petersfield Butser,,,The Bell Cornwell Partnership
14022,BDB/70650,FUL,,CC,Costello Technology College Crossborough Hill Basingstoke RG21 4AL,Proposed provision of one double classroom teaching space,27/04/2009,24/04/2009,19/06/2009,08/06/2009,464361,151731,163,0.0163,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,28/05/2009,,,,,Granted,Delegated by officer,,,Basingstoke Central,,,Property Business and Regulatory Services
14024,21596/014,FUL,,CC,Horndean Technology College Barton Cross Waterlooville PO8 9PQ,To construct a replacement mini Synthetic Turf Pitch with new fencing floodlighting drainage and access paths,28/04/2009,24/04/2009,19/06/2009,01/07/2009,469850,113307,5081,0.5081,C,Committee,Granted,,03/07/2009,RCD,,MAJ,10/07/2009,,,,,Granted,Committee,,,Catherington,,,Property Business & Regulatory Services
14025,P/09/0386/CC,FUL,,CC,St Francis School Oldbury Way Fareham PO14 3BN,Provision for one temporary classroom teaching space for a temporary period,28/04/2009,28/04/2009,23/06/2009,03/06/2009,455376,105988,122,0.0122,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,28/05/2009,,,,,Granted,Delegated by officer,,,Fareham Titchfield,,,Property Business and Regulatory Services
14028,BDB/70669,FUL,,CMW,Skyers Wood Chalk Pit Lloyds Lane Ramsdell Tadley,Infilling of former chalk pit with inert waste temporary siting of portacabin and service area,01/05/2009,05/05/2009,30/06/2009,06/08/2009,457979,156436,21073,2.1073,D,Delegated by officer,Granted,,07/08/2009,RCD,,MAJ,07/02/2012,,,,,Granted,Delegated by officer,New mineral-working exploration or appraisal/waste disposal,Landfill,Calleva and Kingsclere,,,Chris Benham
